born,died
1172,154
620,149
671,201
313,118
933,184
1634,24
266,82
4506,"1,356"
2137,874
600,93
3404,"1,404"
366,83
3111,177
1952,32
6245,682
2030,"1,433"
500,75
1081,460
668,211
818,220
1388,668
1464,622
3120,"1,426"
4308,"2,591"
773,256
772,118
431,85
301,148
572,85
650,137
460,152
311,74
22812,"3,551"
1433,589
483,51
666,324
1648,457
425,194
2993,28
1623,114
705,89
383,129
913,397
758,195
1379,275
488,434
382,148
919,94
3601,"1,453"
606,60
929,339
711,313
466,173
4128,"1,383"
914,172
493,50
656,158
839,426
561,321
1007,310
558,400
566,355
532,101
417,117
688,159
3641,"1,358"
1917,99
2545,701
1423,371
2347,"1,278"
756,229
1110,332
530,128
644,109
8073,"3,401"
181,23
234,45
196,41
130,12
269,61
270,28
64,10
119,16
127,3
241,34
189,6
450,46
192,12
117,15
217,15
219,4
65,6
183,40
98,37
106,50
248,57
243,21
145,24
155,27
390,21
335,62
467,90
94,21
198,31
317,49
242,59
349,41
51,5
208,0
269,75
184,31
249,17
184,24
56,3
351,53
163,10
203,21
553,26
110,13
214,63
66,5
116,18
297,24
107,13
98,23
23,5
369,50
224,48
283,44
218,27
75,11
93,24
532,29
183,22
123,13
67,3
62,23
156,47
370,58
60,7
442,45
421,39
362,34
20,25
48,5
70,16
461,17
432,76
410,57
306,40
22,10
172,27
169,38
44,13
20,2
115,17
90,13
39,15
32,7
308,43
149,24
193,25
301,24
69,11
40,22
61,5
108,52
102,8
165,22
252,24
41,5
102,7
139,42
525,59
399,50
612,19
266,42
35,15
104,16
592,176
56,14
131,11
256,40
105,36
249,24
220,115
149,5
192,43
152,27
140,34
40,11
293,43
355,19
111,16
137,8
318,14
217,29
108,38
155,11
146,29
665,37
,
,
,
,
,
,
